"AID","AName","ContactNum","DOB","Email"
"A1","m","099","2021-11-11","bb@gmail.com"
"A10","mdd","55099","2021-11-11","bbw@gmail.com"
"A11","mqq","8099","2021-11-11","gg@gmail.com"
"A2","ma","091","2021-10-11","bbd@gmail.com"
"A3","mkh","0919","2021-08-11","cc@gmail.com"
"A4","mdb","0949","2021-11-02","dd@gmail.com"
"A5","mdn","0499","2021-11-22","ee@gmail.com"
"A6","mdn","0999","2021-01-11","ff@gmail.com"
"A7","mwywu","299","2021-11-19","db@gmail.com"
"A8","moo","1099","2021-01-01","bk@gmail.com"
"A9","mll","0099","2021-05-05","bbdh@gmail.com"
