"CID","CName","ContactNum","DOB","Email"
"CI1","CN1","789996373","2001-12-21","C1@gmail.com"
"CI10","CN10","4383996373","2001-10-21","C10@gmail.com"
"CI11","CN11","4483996373","2003-12-21","C11@gmail.com"
"CI12","CN12","6383996373","2011-12-21","C12@gmail.com"
"CI13","CN13","4383996373","2020-12-21","C13@gmail.com"
"CI14","CN14","5383996373","2022-12-21","C14@gmail.com"
"CI15","CN15","7383996373","2001-01-21","C15@gmail.com"
"CI16","CN16","6383926373","2001-02-21","C16@gmail.com"
"CI17","CN17","6383992373","2021-02-21","C17@gmail.com"
"CI18","CN18","6382996373","2031-12-21","C18@gmail.com"
"CI19","CN19","2984396373","2003-12-21","C19@gmail.com"
"CI2","CN2","9678996373","2011-12-21","C2@gmail.com"
"CI20","CN20","4766996373","2003-12-21","C20@gmail.com"
"CI21","CN21","6383993443","2001-12-21","C21@gmail.com"
"CI22","CN22","9348236373","2001-12-21","C22@gmail.com"
"CI23","CN23","0344615373","2001-12-21","C23@gmail.com"
"CI24","CN24","6383996183","2001-12-21","C24@gmail.com"
"CI25","CN25","6313446373","2001-12-21","C25@gmail.com"
"CI26","CN26","9993996373","2001-12-21","C26@gmail.com"
"CI27","CN27","6383996373","2001-12-01","C27@gmail.com"
"CI28","CN28","0148198233","2001-12-03","C28@gmail.com"
"CI29","CN29","6381123373","2001-12-11","C29@gmail.com"
"CI3","CN3","6383996373","2021-12-21","C3@gmail.com"
"CI30","CN30","1873996373","2001-12-09","C30@gmail.com"
"CI4","CN4","9383996373","2001-11-21","C4@gmail.com"
"CI5","CN5","8883996373","2001-12-22","C5@gmail.com"
"CI6","CN6","7783996373","2001-12-01","C6@gmail.com"
"CI7","CN7","6383996373","2001-12-11","C7@gmail.com"
"CI8","CN8","9467766373","2001-12-21","C8@gmail.com"
"CI9","CN9","6373996373","2001-09-21","C9@gmail.com"
