"GID","GName","ContactNum","DOB","Email"
"G01","aa","123","2021-11-03","aa@gmail.com"
"G02","bb","099","2021-11-11","bb@gmail.com"
"G03","bbd","091","2021-10-11","bbd@gmail.com"
"G04","cc","0919","2021-08-11","cc@gmail.com"
"G05","dd","0949","2021-11-02","dd@gmail.com"
"G06","ee","0499","2021-11-22","ee@gmail.com"
"G07","ff","0999","2021-01-11","ff@gmail.com"
"G08","dd","299","2021-11-19","db@gmail.com"
"G09","bk","1099","2021-01-01","bk@gmail.com"
"G10","bbdh","0099","2021-05-05","bbdh@gmail.com"
"G11","bb","55099","2021-11-11","bbw@gmail.com"
"G12","gg","8099","2021-11-11","gg@gmail.com"
"G13","bbbhj","399","2021-03-11","bbbhj@gmail.com"
