"STID","STName","ContactNum","DOB","Email","SType"
"STI1","STN1","CN1","2001-12-21","st1@gmail.com","ST1"
"STI10","STN10","CN10","2001-10-21","st10@gmail.com","ST10"
"STI11","STN11","CN11","2003-12-21","st11@gmail.com","ST11"
"STI12","STN12","CN12","2011-12-21","st12@gmail.com","ST12"
"STI13","STN13","CN13","2020-12-21","st13@gmail.com","ST13"
"STI14","STN14","CN14","2022-12-21","st14@gmail.com","ST14"
"STI15","STN15","CN15","2001-01-21","st15@gmail.com","ST15"
"STI16","STN16","CN16","2001-02-21","st16@gmail.com","ST16"
"STI17","STN17","CN17","2021-02-21","st17@gmail.com","ST17"
"STI18","STN18","CN18","2031-12-21","st18@gmail.com","ST18"
"STI19","STN19","CN19","2003-12-21","st19@gmail.com","ST19"
"STI2","STN2","CN2","2011-12-21","st2@gmail.com","ST2"
"STI20","STN20","CN20","2003-12-21","st20@gmail.com","ST20"
"STI21","STN21","CN21","2001-12-21","st21@gmail.com","ST21"
"STI22","STN22","CN22","2001-12-21","st22@gmail.com","ST22"
"STI23","STN23","CN23","2001-12-21","st23@gmail.com","ST23"
"STI24","STN24","CN24","2001-12-21","st24@gmail.com","ST24"
"STI25","STN25","CN25","2001-12-21","st25@gmail.com","ST25"
"STI26","STN26","CN26","2001-12-21","st26@gmail.com","ST26"
"STI27","STN27","CN27","2001-12-01","st27@gmail.com","ST27"
"STI28","STN28","CN28","2001-12-03","st28@gmail.com","ST28"
"STI29","STN29","CN29","2001-12-11","st29@gmail.com","ST29"
"STI3","STN3","CN3","2021-12-21","st3@gmail.com","ST3"
"STI30","STN30","CN30","2001-12-09","st30@gmail.com","ST30"
"STI4","STN4","CN4","2001-11-21","st4@gmail.com","ST4"
"STI5","STN5","CN5","2001-12-22","st5@gmail.com","ST5"
"STI6","STN6","CN6","2001-12-01","st6@gmail.com","ST6"
"STI7","STN7","CN7","2001-12-11","st7@gmail.com","ST7"
"STI8","STN8","CN8","2001-12-21","st8@gmail.com","ST8"
"STI9","STN9","CN9","2001-09-21","st9@gmail.com","ST9"
