"UID","Email","Role","Password"
"1","u001@gmail.com","2001cs01","cs01@u001"
"2","u002@gmail.com","2001cs02","cs02@u002"
"3","u003@gmail.com","2001cs03","cs03@u003"
"4","u004@gmail.com","2001cs04","cs04@u004"
"5","u005@gmail.com","2001cs05","cs05@u005"
"6","u006@gmail.com","2001cs06","cs06@u006"
"7","u007@gmail.com","2001cs07","cs07@u007"
"8","u008@gmail.com","2001cs08","cs08@u008"
"9","u009@gmail.com","2001cs09","cs09@u009"
"10","u010@gmail.com","2001cs10","cs10@u010"
"11","u011@gmail.com","2001cs11","cs11@u011"
"12","u012@gmail.com","2001cs12","cs12@u012"
"13","u013@gmail.com","2001cs13","cs13@u013"
"14","u014@gmail.com","2001cs14","cs14@u014"
"15","u015@gmail.com","2001cs15","cs15@u015"
"16","u016@gmail.com","2001cs16","cs16@u016"
"17","u017@gmail.com","2001cs17","cs17@u017"
"18","u018@gmail.com","2001cs18","cs18@u018"
"19","u019@gmail.com","2001cs19","cs19@u019"
"20","u020@gmail.com","2001cs20","cs20@u020"
"21","u021@gmail.com","2001cs21","cs21@u021"
"22","u022@gmail.com","2001cs22","cs22@u022"
"23","u023@gmail.com","2001cs23","cs23@u023"
"24","u024@gmail.com","2001cs24","cs24@u024"
"25","u025@gmail.com","2001cs25","cs25@u025"
"26","u026@gmail.com","2001cs26","cs26@u026"
"27","u027@gmail.com","2001cs27","cs27@u027"
"28","u028@gmail.com","2001cs28","cs28@u028"
"29","u029@gmail.com","2001cs29","cs29@u029"
"30","u030@gmail.com","2001cs30","cs30@u030"
"31","u031@gmail.com","2001cs31","cs31@u031"
"32","u032@gmail.com","2001cs32","cs32@u032"
"33","u033@gmail.com","2001cs33","cs33@u033"
"34","u034@gmail.com","2001cs34","cs34@u034"
"35","u035@gmail.com","2001cs35","cs35@u035"
"36","u036@gmail.com","2001cs36","cs36@u036"
"37","u037@gmail.com","2001cs37","cs37@u037"
"38","u038@gmail.com","2001cs38","cs38@u038"
"39","u039@gmail.com","2001cs39","cs39@u039"
"40","u040@gmail.com","2001cs40","cs40@u040"
"41","u041@gmail.com","2001cs41","cs41@u041"
"42","u042@gmail.com","2001cs42","cs42@u042"
"43","u043@gmail.com","2001cs43","cs43@u043"
"44","u044@gmail.com","2001cs44","cs44@u044"
"45","u045@gmail.com","2001cs45","cs45@u045"
"46","u046@gmail.com","2001cs46","cs46@u046"
"47","u047@gmail.com","2001cs47","cs47@u047"
"48","u048@gmail.com","2001cs48","cs48@u048"
"49","u049@gmail.com","2001cs49","cs49@u049"
"50","u050@gmail.com","2001cs50","cs50@u050"
